sepal_width,sepal_length,petal_length,petal_width,species
3.5,5.1,1.4,0.2,setosa
3,4.9,1.4,0.2,setosa
3.2,4.7,1.3,0.2,setosa
3.1,4.6,1.5,0.2,setosa
3.6,5,1.4,0.2,setosa
3.9,5.4,1.7,0.4,setosa
3.4,4.6,1.4,0.3,setosa
3.4,5,1.5,0.2,setosa
2.9,4.4,1.4,0.2,setosa
3.1,4.9,1.5,0.1,setosa
3.7,5.4,1.5,0.2,setosa
3.4,4.8,1.6,0.2,setosa
3,4.8,1.4,0.1,setosa
3,4.3,1.1,0.1,setosa
4,5.8,1.2,0.2,setosa
4.4,5.7,1.5,0.4,setosa
3.9,5.4,1.3,0.4,setosa
3.5,5.1,1.4,0.3,setosa
3.8,5.7,1.7,0.3,setosa
3.8,5.1,1.5,0.3,setosa
3.4,5.4,1.7,0.2,setosa
3.7,5.1,1.5,0.4,setosa
3.6,4.6,1,0.2,setosa
3.3,5.1,1.7,0.5,setosa
3.4,4.8,1.9,0.2,setosa
3,5,1.6,0.2,setosa
3.4,5,1.6,0.4,setosa
3.5,5.2,1.5,0.2,setosa
3.4,5.2,1.4,0.2,setosa
3.2,4.7,1.6,0.2,setosa
3.1,4.8,1.6,0.2,setosa
3.4,5.4,1.5,0.4,setosa
4.1,5.2,1.5,0.1,setosa
4.2,5.5,1.4,0.2,setosa
3.1,4.9,1.5,0.1,setosa
3.2,5,1.2,0.2,setosa
3.5,5.5,1.3,0.2,setosa
3.1,4.9,1.5,0.1,setosa
3,4.4,1.3,0.2,setosa
3.4,5.1,1.5,0.2,setosa
3.5,5,1.3,0.3,setosa
2.3,4.5,1.3,0.3,setosa
3.2,4.4,1.3,0.2,setosa
3.5,5,1.6,0.6,setosa
3.8,5.1,1.9,0.4,setosa
3,4.8,1.4,0.3,setosa
3.8,5.1,1.6,0.2,setosa
3.2,4.6,1.4,0.2,setosa
3.7,5.3,1.5,0.2,setosa
3.3,5,1.4,0.2,setosa
3.2,7,4.7,1.4,versicolor
3.2,6.4,4.5,1.5,versicolor
3.1,6.9,4.9,1.5,versicolor
2.3,5.5,4,1.3,versicolor
2.8,6.5,4.6,1.5,versicolor
2.8,5.7,4.5,1.3,versicolor
3.3,6.3,4.7,1.6,versicolor
2.4,4.9,3.3,1,versicolor
2.9,6.6,4.6,1.3,versicolor
2.7,5.2,3.9,1.4,versicolor
2,5,3.5,1,versicolor
3,5.9,4.2,1.5,versicolor
2.2,6,4,1,versicolor
2.9,6.1,4.7,1.4,versicolor
2.9,5.6,3.6,1.3,versicolor
3.1,6.7,4.4,1.4,versicolor
3,5.6,4.5,1.5,versicolor
2.7,5.8,4.1,1,versicolor
2.2,6.2,4.5,1.5,versicolor
2.5,5.6,3.9,1.1,versicolor
3.2,5.9,4.8,1.8,versicolor
2.8,6.1,4,1.3,versicolor
2.5,6.3,4.9,1.5,versicolor
2.8,6.1,4.7,1.2,versicolor
